name,tag_synonyms
aes,advanced-encryption-standard;aes-encryption
agentic-ai,ai-agents;agent-framework
agents,software-agents;ai-agents
ai,machine-learning;ml;neural-net;ai
amqp,advanced-message-queuing-protocol
analytics,telemetry;event-tracking
android-architecture,android-arch;android-app-architecture
android-ui,android-ui-components;android-views
animated-image,gif-animation;animated-webp;apng
animation,motion;tween;interpolation
api,application-programming-interface
apollographql,apollo-graphql
apple,apple-platforms;cocoa
architecture,app-structure;layers;hexagonal
arrow-kt,arrow;arrow-kt
asn.1,abstract-syntax-notation
assertions,assert-utils;assertion-library
asynchronous,async;non-blocking;coroutines
audio,sound;music;audio-dsp
authentication,auth;login;oidc
automation,scripting;orchestration
background-synchronization,background-synchronization;sync-in-background
bgtaskscheduler,bg-task-scheduler;ios-background-tasks
bot,automation-bot;telegram-bot;discord-bot
bottomsheet,bottom-sheet;sheet
cache,caching;cache-store
calendar,calendar-ui;calendar-api
charts,chart;graphing;plot
chatbot,conversational-ai;chat-bot
chatgpt,gpt;openai-chat
client,sdk-client;api-client
cmp,consent-management
code-generation,ksp-codegen;annotation-processing
color-picker,color-selection;picker
command-line-interface,cli;command-line;console
compiler-plugin,kotlin-compiler-plugin
compose,jetpack-compose
compose-html,compose-web-html;compose-html
compose-multiplatform,compose-mpp
compose-navigation,compose-navigator;compose-routing
compose-ui,
concurrency,threading;parallelism
coroutines,kotlin-coroutines;kotlinx-coroutines
cose,cbor-cose
crypto,web3;blockchain;crypto-coin
cryptography,crypto-primitives;encryption;hashing
csv,csv-parsing;csv-writer
data,datasets;data-processing
database,db;persistence;orm
date-time,datetime;date-time
datepicker,date-picker-ui
debug,diagnostics;inspector
dependency-management,dependency-management;deps-management;version-catalog
dependency-injection,di;inversion-of-control;ioc
design-system,ui-kit;component-library
desktop,desktop-app
device,hardware;peripherals
discord,discord-sdk;discord-integration
dsl,domain-specific-language;builder-dsl
elm-architecture,tea;elm-arch
exe,windows-exe;native-exe
file,filesystem;io-files
fileformat,file-format;parser-format
flutter,flutter-sdk
framework,application-framework
functional-programming,fp;functional
gamedev,game-dev;game-development
gestures,touch;multi-touch;gesture
gradle,gradle-build
gradle-plugin,gradle-plugin
graphics,drawing
graphql,graph-ql
graphql-client,graphql-sdk-client
html,markup;hypertext
http,rest;http-client;http-server
http-client,http-sdk-client
image,picture;bitmap;raster
image-loader,imageloader;image-loading
image-subsampling,tiled-image;region-decode
image-zoom,image-pinch;zoom
io,input-output
jetpack,androidx;jetpack-components
jose,json-web-token;jose
json,javascript-object-notation;json-parsing
kmp-viewmodel,kmp-view-model
kotlin-compiler-plugin,compiler-plugin
kotlin-coroutines,coroutines;kotlinx-coroutines
kotlin-dsl,dsl-in-kotlin
kotlin-flow,flow
kotlin-multiplatform-sample,kmp-sample;mpp-example
kotlin-native,konan;kotlin-native
kotlin-serialization,kotlin-serialization
kotlinx-datetime,kotlinx-datetime
ksp,kotlin-symbol-processing
ktor,ktor-framework
ktor-client,ktor-http-client
ktor-plugin,ktor-feature
ktor-server,ktor-http-server
language-extensions,kotlin-extensions;stdlib-ext;dsl
license,licensing;oss-licenses
linux,linux-platform
llm,large-language-model
localization,i18n;l10n;internationalization
logging,log;logger
macos,mac-os;osx
material-design,material
material3,m3;material-you
math,numerics;algebra
maven,apache-maven
messaging,message-queue;messaging-systems
midi,musical-instrument-digital-interface
mock,mocking;stubs;fakes
moko,moko-libs
monads,functional-types;fp
mvi,model-view-intent
mvvm,model-view-viewmodel
native,native-binaries
navigation,routing;nav
network,networking;sockets
okhttp,okhttp3
okio,square-okio
openai,open-ai
parsing,parser;lexer
pe,portable-executable;pe-format;pefile
performance-optimization,perf;optimization;tuning
pki,public-key-infrastructure
pkix,x.509-pkix
preferences,settings;app-preferences
process,subprocess;child-process;process-management
quartz,quartz-scheduler
rabbitmq,rabbit-mq
react,reactjs
reactive,rx;reactive-streams
redux,redux-pattern
rendering,render;rasterization
resources,assets;resource-management
retrofit,retrofit2
router,routing
rpc,remote-procedure-call
scala,scala-language
scheduling,job-scheduling;task-scheduler
science,scientific;science-toolkit
sdk,software-development-kit
semver,semantic-versioning
serialization,serde
serializer,serialization;serde
service-sdk,api-sdk;client-library
sharedpreferences,shared-prefs
simbot,sim-bot
skydoves,skydoves-libs
spring-boot,spring-boot
sql,structured-query-language
sqldelight,sql-delight
sqlite,sql-lite;sqlite-db
state-management,state;store;mvi;redux
storage,persistence;kv-store
swift,swift-language
swiftui,swift-ui
telegram,telegram-sdk
test,testing;unit-tests
text,nlp-lite;text-processing
time,time-utils
time-zone,timezone;tz;timezones
trie,prefix-tree;radix
typescript,ts
udf,user-defined-function
ui,user-interface;components
unidirectional-data-flow,udf;one-way-data-flow
uri,uri-parsing
url,link;web-address
utility,utils;toolkit
validation,data-validation
viewmodel,view-model
wasm,web-assembly
web,kotlin-js;browser
webview,in-app-browser
windows,microsoft-windows
work-manager,workmanager;android-workmanager
wrapper,adapter-library
x.509,x509;certificates
xml,extensible-markup-language
